competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
1014,2018,Championnats Asiatiques,Senior,THAILAND,2018-06-18,2018-06-18,Foil,Womens,Asia/Bangkok,https://fie.org/competitions/2018/1014,2018-1014,
127,2017,Coupe du Monde de fleuret d'Alger by Ooredoo,Senior,ALGERIA,2017-01-13,2017-01-14,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2017/127,2017-127,
740,2015,Championnats d'Europe,Senior,SWITZERLAND,2015-06-08,2015-06-08,Foil,Womens,Europe/Zurich,https://fie.org/competitions/2015/740,2015-740,
740,2017,Championnats d'Europe,Senior,GEORGIA,2017-06-13,2017-06-13,Foil,Womens,Asia/Tbilisi,https://fie.org/competitions/2017/740,2017-740,
1230,2017,Tournoi satellite,Senior,TURKEY,2016-12-11,2016-12-11,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2017/1230,2017-1230,
800,2016,Championnats Panaméricains,Senior,PANAMA,2016-06-23,2016-06-23,Foil,Womens,America/Panama,https://fie.org/competitions/2016/800,2016-800,
458,2016,Grand Prix,Senior,ITALY,2015-11-27,2015-11-28,Foil,Womens,Europe/Rome,https://fie.org/competitions/2016/458,2016-458,
1218,2016,Tournoi satellite,Senior,TURKEY,2015-11-14,2015-11-15,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2016/1218,2016-1218,
457,2017,Grand Prix,Senior,CHINA,2017-05-19,2017-05-21,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2017/457,2017-457,
1218,2017,Tournoi satellite,Senior,MEXICO,2016-10-12,2016-10-13,Foil,Womens,America/Cancun,https://fie.org/competitions/2017/1218,2017-1218,
458,2018,Grand Prix,Senior,ITALY,2017-12-01,2017-12-03,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/458,2018-458,
1218,2019,Tournoi satellite,Senior,SLOVAKIA,2018-09-15,2018-09-15,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2019/1218,2019-1218,
122,2015,Reinhold-Würth-Cup,Senior,GERMANY,2015-05-01,2015-05-02,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2015/122,2015-122,
1281,2017,Trekanten International,Senior,DENMARK,2017-05-28,2017-05-28,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2017/1281,2017-1281,
121,2017,Absolute Fencing Gear Long Beach Foil Grand Prix,Senior,USA,2017-03-17,2017-03-18,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2017/121,2017-121,
1307,2015,Jeux africains,Senior,CONGO,2015-09-02,2015-09-06,Foil,Womens,Africa/Brazzaville,https://fie.org/competitions/2015/1307,2015-1307,
1230,2015,Tournoi satellite,Senior,TURKEY,2014-12-13,2014-12-14,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2015/1230,2015-1230,
121,2016,Grand Prix,Senior,CUBA,2016-03-11,2016-03-12,Foil,Womens,America/Havana,https://fie.org/competitions/2016/121,2016-121,
1356,2019,Tournoi Satellite,Senior,DENMARK,2018-10-07,2018-10-07,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2019/1356,2019-1356,
